,st_cty_code,county,state,cases
786,1800153,Sullivan County,IN,0
787,1800155,Switzerland County,IN,0
788,1800157,Tippecanoe County,IN,2
789,1800159,Tipton County,IN,0
790,1800161,Union County,IN,0
791,1800163,Vanderburgh County,IN,0
792,1800165,Vermillion County,IN,1
793,1800167,Vigo County,IN,0
794,1800169,Wabash County,IN,0
795,1800171,Warren County,IN,0
796,1800173,Warrick County,IN,1
797,1800175,Washington County,IN,0
798,1800177,Wayne County,IN,0
799,1800179,Wells County,IN,0
800,1800181,White County,IN,1
801,1800183,Whitley County,IN,0
802,1800999,Indiana,IN,0
803,19001,Adair County,IA,1
804,19003,Adams County,IA,0
805,19005,Allamakee County,IA,10
806,19007,Appanoose County,IA,1
807,19009,Audubon County,IA,0
808,190011,Benton County,IA,5
809,190013,Black Hawk County,IA,4
810,190015,Boone County,IA,3
811,190017,Bremer County,IA,1
812,190019,Buchanan County,IA,3
813,190021,Buena Vista County,IA,0
814,190023,Butler County,IA,0
815,190025,Calhoun County,IA,0
816,190027,Carroll County,IA,0
817,190029,Cass County,IA,1
818,190031,Cedar County,IA,1
819,190033,Cerro Gordo County,IA,2
820,190035,Cherokee County,IA,0
821,190037,Chickasaw County,IA,1
822,190039,Clarke County,IA,0
823,190041,Clay County,IA,0
824,190043,Clayton County,IA,8
825,190045,Clinton County,IA,1
826,190047,Crawford County,IA,0
827,190049,Dallas County,IA,4
828,190051,Davis County,IA,1
829,190053,Decatur County,IA,1
830,190055,Delaware County,IA,2
831,190057,Des Moines County,IA,2
832,190059,Dickinson County,IA,2
833,190061,Dubuque County,IA,33
834,190063,Emmet County,IA,0
835,190065,Fayette County,IA,3
836,190067,Floyd County,IA,0
837,190069,Franklin County,IA,0
838,190071,Fremont County,IA,0
839,190073,Greene County,IA,0
840,190075,Grundy County,IA,0
841,190077,Guthrie County,IA,0
842,190079,Hamilton County,IA,1
